epoch,train_accuracy,train_balanced_accuracy,train_f1,train_macro_f1,train_ari,train_nmi,val_accuracy,val_balanced_accuracy,val_f1,val_macro_f1,val_ari,val_nmi,test_accuracy,test_balanced_accuracy,test_f1,test_macro_f1,test_ari,test_nmi
1,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
5,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
10,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
15,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
20,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
25,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
30,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
35,0.8129948473042604,0.7377834702246732,0.13488372093023257,0.5150253464451078,0.07570999567046088,0.039080087868427,0.4782608695652174,0.5527950310559007,0.40213523131672596,0.469662656980677,-0.014487863084445537,0.007431083608168129,0.5825589706933524,0.5356658490838263,0.27543424317617865,0.4911307762065632,0.011506252872894342,0.0026142649984498305
40,0.8425285911775795,0.741777757007162,0.15165876777251186,0.5324339416198571,0.09477786831942432,0.046568181461969074,0.5124223602484472,0.5590062111801242,0.40076335877862596,0.4948842971903601,-0.004607378998571652,0.008638502879955386,0.6275911365260901,0.5495328956860482,0.2833562585969739,0.5158934841995009,0.026175143240406658,0.0054127789989932345
45,0.8295840140756566,0.7407123704595109,0.14393939393939395,0.5246563682886084,0.08594326524579675,0.04316630447102939,0.4953416149068323,0.5559006211180124,0.4014732965009208,0.48261584288133286,-0.00981558008083884,0.007994318732540123,0.6061472480343102,0.5399238926561823,0.2759526938239159,0.5027284333135289,0.017271815369608427,0.0033992646912301655
50,0.8421515646600477,0.747138279725672,0.15363881401617252,0.5332989634876427,0.09634667782071242,0.048275200655882027,0.5139751552795031,0.562111801242236,0.4038095238095238,0.49679335954565307,-0.00464372689909119,0.00959549898488455,0.6275911365260901,0.5478718799596018,0.2813793103448276,0.5150263652544206,0.02541154255606877,0.005071487901367055
55,0.8368731934146035,0.7527693478286268,0.15274151436031333,0.5312449054210133,0.0945442107804557,0.048822432831964455,0.5108695652173914,0.562111801242236,0.4045368620037807,0.4947585495789654,-0.005808325178545367,0.009653385530671747,0.6211579699785561,0.5456535853412207,0.2798913043478261,0.5114296482941846,0.02286354772472587,0.004556409998898893
60,0.8299610405931884,0.7520117477304857,0.1485210824417873,0.5270354103308412,0.08973154997064668,0.046904615316330465,0.4984472049689441,0.5559006211180124,0.4007421150278293,0.4847502297435542,-0.008759059278122965,0.007934011398145306,0.6154395997140815,0.5505103881113836,0.2864721485411141,0.5116313775973672,0.023494382632550857,0.005460709684112149
65,0.8227975367600855,0.7539022794452688,0.14545454545454545,0.5233021465354611,0.0858796085539417,0.04594813654652203,0.4984472049689441,0.5559006211180124,0.4007421150278293,0.4847502297435542,-0.008759059278122965,0.007934011398145306,0.6054324517512509,0.5494589525321022,0.2868217054263566,0.507047216349542,0.02061465607082608,0.005139184619033067
70,0.4497926354153575,0.7158970423292168,0.07402707275803723,0.34132249400462206,-0.009081387299246206,0.029905837268766236,0.2515527950310559,0.5010351966873706,0.40049751243781095,0.2023148719213848,-0.0020661422173170953,0.0015580779545458503,0.17441029306647604,0.5004941566873468,0.2918454935622318,0.15106413495592308,-0.0012824208917861899,5.9553957648669766e-05
75,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
80,0.45683046374261654,0.7139422515217722,0.07412167952013711,0.3449036283071075,-0.007893918040284421,0.02784761841577167,0.2531055900621118,0.5020703933747412,0.40099626400996263,0.20462184334518752,-0.004104602921394564,0.0030684985691126487,0.17441029306647604,0.5004941566873468,0.2918454935622318,0.15106413495592308,-0.0012824208917861899,5.9553957648669766e-05
85,0.4536885760965188,0.7123357742052319,0.07372682718943106,0.3431640998080655,-0.008306033720957798,0.02757252831153497,0.2515527950310559,0.5010351966873706,0.40049751243781095,0.2023148719213848,-0.0020661422173170953,0.0015580779545458503,0.17512508934953538,0.5009251911701054,0.2920245398773006,0.1520054206235818,-0.002381391675131808,0.00018751802025611213
