epoch,loss,contrastive,classification
1,0.7636196613311768,6.93064546585083,0.6943132281303406
2,0.7624974846839905,6.929863929748535,0.6931988596916199
3,0.7608756422996521,6.9315924644470215,0.6915597319602966
4,0.7595584988594055,6.930156230926514,0.6902569532394409
5,0.7569501399993896,6.932208061218262,0.6876280307769775
6,0.7569894194602966,6.930436611175537,0.6876850724220276
7,0.7541541457176208,6.930896282196045,0.6848452091217041
8,0.7550438642501831,6.931468486785889,0.6857292056083679
9,0.7520993947982788,6.929431438446045,0.682805061340332
10,0.7513450980186462,6.929564476013184,0.6820494532585144
11,0.7503346800804138,6.929373741149902,0.6810409426689148
12,0.7493928074836731,6.929470539093018,0.6800981163978577
13,0.7461529970169067,6.929299354553223,0.6768600344657898
14,0.7456642985343933,6.929496765136719,0.676369309425354
15,0.7427418231964111,6.929471492767334,0.6734471321105957
16,0.7412909865379333,6.929291248321533,0.6719980835914612
17,0.7399321794509888,6.929640769958496,0.6706357598304749
18,0.7373219132423401,6.929298400878906,0.6680289506912231
19,0.735817551612854,6.930583477020264,0.6665117144584656
20,0.7342022061347961,6.929506778717041,0.6649071574211121
21,0.7300499081611633,6.928521156311035,0.6607646942138672
22,0.728785514831543,6.929571151733398,0.6594898104667664
23,0.7275280356407166,6.928018569946289,0.6582478284835815
24,0.724069356918335,6.927838325500488,0.654790997505188
25,0.7218014597892761,6.929290294647217,0.652508556842804
26,0.7189137935638428,6.9275360107421875,0.6496384143829346
27,0.7162325382232666,6.926973342895508,0.6469628214836121
28,0.7145935893058777,6.926065444946289,0.645332932472229
29,0.7109560966491699,6.926250457763672,0.6416935920715332
30,0.7093509435653687,6.922129154205322,0.6401296257972717
31,0.7036464810371399,6.9224467277526855,0.6344220042228699
32,0.7039308547973633,6.9203996658325195,0.634726881980896
33,0.7014954090118408,6.92007303237915,0.6322946548461914
34,0.6976050734519958,6.915764808654785,0.628447413444519
35,0.6958922147750854,6.9153971672058105,0.6267382502555847
36,0.6889783143997192,6.909214496612549,0.6198861598968506
37,0.6857060790061951,6.900847911834717,0.6166976094245911
38,0.6873787641525269,6.890579700469971,0.6184729933738708
39,0.6847947835922241,6.878155708312988,0.61601322889328
40,0.679745078086853,6.867872714996338,0.6110663414001465
41,0.6793780326843262,6.846217632293701,0.6109158396720886
42,0.6761847734451294,6.833808422088623,0.6078466773033142
43,0.6665211915969849,6.798158168792725,0.5985395908355713
44,0.6626214981079102,6.7633562088012695,0.5949879288673401
45,0.6578670144081116,6.740689754486084,0.5904601216316223
46,0.6581283807754517,6.681142330169678,0.5913169384002686
47,0.6565390825271606,6.629887580871582,0.5902402400970459
48,0.6517156362533569,6.619246959686279,0.5855231881141663
49,0.650157630443573,6.5943074226379395,0.5842145681381226
50,0.6383172273635864,6.546728610992432,0.5728499293327332
51,0.6392018795013428,6.52545166015625,0.5739473700523376
52,0.6394649744033813,6.483224868774414,0.5746327042579651
53,0.6301890015602112,6.473063945770264,0.565458357334137
54,0.6315471529960632,6.430015563964844,0.5672469735145569
55,0.6274549961090088,6.407659530639648,0.5633783936500549
56,0.6215080618858337,6.371610164642334,0.5577919483184814
57,0.6282089948654175,6.382445335388184,0.5643845200538635
58,0.623751699924469,6.389308929443359,0.5598586201667786
59,0.615324079990387,6.375221252441406,0.5515718460083008
