epoch,loss,reconstruction,contrastive,clustering
1,1.7542614936828613,1.4092141389846802,0.560020923614502,0.012998956255614758
2,1.6820626258850098,1.3382805585861206,0.5616259574890137,0.012586807832121849
3,1.6136133670806885,1.275154709815979,0.5602490901947021,0.011661659926176071
4,1.550433874130249,1.2209925651550293,0.5562008023262024,0.010264715179800987
5,1.5003468990325928,1.1796774864196777,0.5556823015213013,0.008563200943171978
6,1.463204264640808,1.1515840291976929,0.5557169914245605,0.0067504942417144775
7,1.4418110847473145,1.1380746364593506,0.5556436777114868,0.005181302782148123
8,1.434934377670288,1.1354343891143799,0.5591172575950623,0.003986157011240721
9,1.433435320854187,1.1394436359405518,0.5564723610877991,0.0031484593637287617
10,1.438413381576538,1.1464591026306152,0.5580875277519226,0.0025783737655729055
11,1.4445884227752686,1.1552318334579468,0.5568338632583618,0.0021832501515746117
12,1.4514878988265991,1.1627568006515503,0.5582168698310852,0.0019187055295333266
13,1.4536159038543701,1.167331337928772,0.5550543069839478,0.0017445911653339863
14,1.4582154750823975,1.1702947616577148,0.5593279004096985,0.001643527764827013
15,1.456740379333496,1.1699481010437012,0.5576974749565125,0.00158032460603863
16,1.4552420377731323,1.1671892404556274,0.5604442358016968,0.0015571003314107656
17,1.4494199752807617,1.1619666814804077,0.5591699481010437,0.0015645107487216592
18,1.443110704421997,1.1553065776824951,0.5594726800918579,0.001604427583515644
19,1.4357694387435913,1.1474418640136719,0.5597931146621704,0.0016775091644376516
20,1.4272851943969727,1.1390742063522339,0.5586225390434265,0.0017717541195452213
21,1.451646327972412,1.1309740543365479,0.5578978061676025,0.008340858854353428
22,1.4425365924835205,1.1231452226638794,0.5575024485588074,0.008127350360155106
23,1.4347155094146729,1.1166797876358032,0.5587297081947327,0.007733989041298628
24,1.4271265268325806,1.1113368272781372,0.5588843822479248,0.0072657158598303795
25,1.4199596643447876,1.107871413230896,0.5572564601898193,0.006680778693407774
26,1.4156090021133423,1.1061959266662598,0.5582138895988464,0.006040690001100302
27,1.4114961624145508,1.105727195739746,0.5566486120223999,0.005457334686070681
28,1.4110852479934692,1.106305718421936,0.5603616237640381,0.0048817796632647514
29,1.4098095893859863,1.1073062419891357,0.5603396892547607,0.0044248527847230434
30,1.4086403846740723,1.1082348823547363,0.5598875880241394,0.004052327945828438
31,1.4066967964172363,1.1082313060760498,0.5589649677276611,0.0037617371417582035
32,1.4058163166046143,1.1077661514282227,0.5605128407478333,0.0035321181640028954
33,1.403006672859192,1.1066254377365112,0.558915913105011,0.0033666747622191906
34,1.4028151035308838,1.1049301624298096,0.5633190274238586,0.0032350062392652035
35,1.3991189002990723,1.102819561958313,0.5612837076187134,0.0031270659528672695
36,1.3969777822494507,1.1005632877349854,0.5622994899749756,0.003051837906241417
37,1.3934516906738281,1.0985177755355835,0.5601717233657837,0.0029695883858948946
38,1.391311764717102,1.0964031219482422,0.5608896017074585,0.002892402932047844
39,1.3891311883926392,1.0940964221954346,0.5617154836654663,0.0028343400917947292
40,1.3876874446868896,1.0923845767974854,0.5628015995025635,0.0027788160368800163
