epoch,train_accuracy,train_balanced_accuracy,train_f1,train_macro_f1,train_ari,train_nmi,val_accuracy,val_balanced_accuracy,val_f1,val_macro_f1,val_ari,val_nmi,test_accuracy,test_balanced_accuracy,test_f1,test_macro_f1,test_ari,test_nmi
115,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
120,0.5016966193288928,0.7229994976107301,0.07812136712392467,0.3683468283996443,-0.0012395092975877994,0.02681155885290903,0.30745341614906835,0.515527950310559,0.40214477211796246,0.2896332716678373,-0.022657495787092752,0.0026512038335231077,0.21015010721944247,0.4987916606550281,0.2884739214423696,0.20046186031957838,0.0022438921824834432,2.0955291621621672e-05
125,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
130,0.4993087847178585,0.724555224848407,0.07820453493752892,0.36725961736524476,-0.0016307655979749085,0.027524076042180965,0.3059006211180124,0.5165631469979296,0.4032042723631509,0.2869453643819465,-0.024458943787841556,0.0032299025964209467,0.2058613295210865,0.4928834223055836,0.28553054662379423,0.19586261844464048,0.01407120316486266,0.0007199192282392875
135,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
140,0.4931506849315068,0.726959829304483,0.07817142857142857,0.3643305361940252,-0.002636554082907985,0.028952206606195435,0.2950310559006211,0.5113871635610766,0.40105540897097625,0.2722258176930353,-0.017876899378464893,0.0018422308271991586,0.20228734810578985,0.4957112970711297,0.28735632183908044,0.1907560829974623,0.008730315426915157,0.00031301919281189416
145,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
150,0.5008168907879854,0.7308796339568413,0.07927677329624479,0.36843149009639825,-0.0014785651482752714,0.02970457128024775,0.3027950310559006,0.5144927536231884,0.4021304926764314,0.2830019316268563,-0.021754504679005464,0.0025602920307847064,0.20800571837026446,0.4958375414803059,0.287001287001287,0.19816302292186538,0.00812148574147091,0.00024736747596125795
155,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
160,0.471785848938042,0.7160357835520089,0.07524752475247524,0.3527790090997841,-0.005677051499974246,0.02695422145747915,0.265527950310559,0.5062111801242236,0.4020227560050569,0.22515624721782018,-0.0115722134536551,0.0022935689969719665,0.18155825589706934,0.5031434857884864,0.29277331686226066,0.1608056575829539,-0.007751441587261242,0.0008900020552777104
165,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
170,0.5018222948347367,0.7286170566998866,0.07899628252788105,0.3687832403164814,-0.0012891154179244214,0.02875942715538931,0.3027950310559006,0.5144927536231884,0.4021304926764314,0.2830019316268563,-0.021754504679005464,0.0025602920307847064,0.21157969978556113,0.4946706824412062,0.286084142394822,0.2028984159699569,0.010132658919974198,0.00035830121968015286
175,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
180,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
185,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
190,0.47693854467764235,0.718670406351135,0.07593250444049733,0.35558237842533197,-0.004967995047738305,0.02742343175130481,0.2701863354037267,0.505175983436853,0.4005102040816326,0.23398526077097503,-0.00939921380771154,0.0009557486131320996,0.18727662616154395,0.5032697301976626,0.2924704418170504,0.16890524609744206,-0.007752903194821324,0.0005322567442271194
195,0.48372502199321354,0.7221403973548621,0.07685393258426966,0.3592573919725256,-0.004010937718888908,0.028053452176005585,0.281055900621118,0.5082815734989649,0.40103492884864167,0.25100290131752473,-0.014120246694418217,0.0015218567752716347,0.19442458899213724,0.5009360121194633,0.2907488986784141,0.17928677357411194,-0.002163366505006807,2.439632239139375e-05
200,0.02211888902852834,0.5,0.04328046231402927,0.021640231157014633,0.0,0.0,0.25,0.5,0.4,0.2,0.0,0.0,0.1708363116511794,0.5,0.29181929181929184,0.14590964590964592,0.0,0.0
