epoch,train_accuracy,train_balanced_accuracy,train_f1,train_macro_f1,train_ari,train_nmi,val_accuracy,val_balanced_accuracy,val_f1,val_macro_f1,val_ari,val_nmi,test_accuracy,test_balanced_accuracy,test_f1,test_macro_f1,test_ari,test_nmi
1,0.5581249214528089,0.5491563803437277,0.05126821370750135,0.3816301750057821,0.001916800248332829,0.0010594856348546836,0.37888198757763975,0.5217391304347826,0.3939393939393939,0.37849835939007914,-0.01913643140731356,0.0019009116466244703,0.37240886347390995,0.45046710431395187,0.23652173913043478,0.35187737441958633,0.026175143240406658,0.0054127789989932345
5,0.5432952117632274,0.544350457407905,0.0501829587036069,0.37477711800170416,0.0012672485371262943,0.0008573199325380866,0.3695652173913043,0.5196687370600415,0.3940298507462687,0.3685359609718398,-0.018620808453221914,0.0016688761636642721,0.3652609006433167,0.44947879093925835,0.23711340206185566,0.3468308748375374,0.02850942879518972,0.005728527922254703
10,0.5404046751288174,0.42347654835204634,0.028169014084507043,0.3636030651856162,-0.002346947162773956,0.0026697337613467162,0.6832298136645962,0.49896480331262943,0.17073170731707318,0.4874771780347362,-0.001938597711141945,7.381751166072532e-06,0.688348820586133,0.5213912133891213,0.22695035460992907,0.5158923662038006,0.019858844445300537,0.0014172884010340816
15,0.5405303506346613,0.417987507448213,0.027142096860031932,0.36319263447805805,-0.002535890803789002,0.0030809604000697852,0.6894409937888198,0.505175983436853,0.18032786885245902,0.4943784938132027,0.0061493231295602115,0.00018698548089555515,0.6890636168691923,0.5168392006925407,0.21903052064631956,0.5124603741116471,0.01582706107542113,0.0009013108297124434
20,0.545180344350886,0.5508676437943241,0.05137614678899083,0.376130258699066,0.0015125149363623427,0.0011284444332284687,0.36335403726708076,0.5175983436853002,0.39349112426035504,0.36177824186873964,-0.017453239304530445,0.0013965184205586157,0.35525375268048603,0.4550714182657625,0.24328859060402686,0.34082237749379424,0.028145882756138108,0.004727201731576149
25,0.5957018977001383,0.5544865990583122,0.05298793052693553,0.397988732380189,0.0036300653597099164,0.0013385901083047278,0.39751552795031053,0.5238095238095238,0.39184952978056425,0.39746322642874365,-0.017863071138214007,0.0019936800980451,0.3874195854181558,0.4561967969989901,0.23822222222222222,0.36298439264129645,0.020140815923402874,0.004124260352625497
30,0.6254869925851452,0.5530561040296293,0.053367217280813214,0.40996733102799865,0.004794089180956074,0.0013191288150144235,0.422360248447205,0.5320910973084886,0.3941368078175896,0.4211040122174001,-0.019046401371916415,0.0032385352981890887,0.4131522516082916,0.4600869282931756,0.23627906976744187,0.3798922917032218,0.0135049954629204,0.003280235414834805
35,0.6443383184617318,0.5488117179376336,0.05287817938420348,0.41696980298314307,0.005203894648295808,0.001155654549231114,0.4301242236024845,0.5248447204968945,0.3852596314907873,0.4270726522142793,-0.013254156157653848,0.0018032493989355092,0.43388134381701216,0.457637786755158,0.22957198443579765,0.39105717865857675,0.010068461182285104,0.0035957094869404228
40,0.5471911524443885,0.557449089273405,0.05259006047856955,0.37754595914688943,0.001779574702734957,0.0014404378599425617,0.3555900621118012,0.5165631469979296,0.39416058394160586,0.35296752248489915,-0.017400167882044158,0.0013332735588697875,0.34810578984989277,0.4640491992497475,0.2512315270935961,0.3370081686100892,0.024452557888168296,0.003177432810847772
45,0.5471911524443885,0.557449089273405,0.05259006047856955,0.37754595914688943,0.001779574702734957,0.0014404378599425617,0.35403726708074534,0.515527950310559,0.3935860058309038,0.351278052749339,-0.016494907322056784,0.0011803997829200764,0.34667619728377413,0.46318713028423025,0.25081967213114753,0.3358027384736853,0.025288249762203056,0.0033417718707725572
