epoch,botdcgc_loss,botdcgc_contrastive,botdcgc_clustering,cacl_loss,cacl_contrastive,cacl_pseudo_label
1,1.5687761306762695,0.5656577944755554,0.0062361303716897964,0.7625945806503296,6.929924964904785,0.0
2,1.5606529712677002,0.5677388906478882,0.006218478549271822,0.7598468065261841,6.929954528808594,0.0
3,1.5524482727050781,0.5680534839630127,0.0064369142055511475,0.75621497631073,6.9296393394470215,0.0
4,1.5438621044158936,0.5679168105125427,0.006426982115954161,0.7551339864730835,6.9304914474487305,0.0
5,1.534099817276001,0.5685014128684998,0.00597968976944685,0.7541382312774658,6.9293060302734375,0.0
6,1.527457356452942,0.5682538151741028,0.006496869493275881,0.7510507106781006,6.930239677429199,0.0
7,1.5181643962860107,0.566083550453186,0.00633650878444314,0.7493513822555542,6.929901123046875,0.0
8,1.5126559734344482,0.5672633051872253,0.006658100988715887,0.7500916123390198,6.929874897003174,0.0
9,1.5052543878555298,0.5708202123641968,0.006020801607519388,0.7458749413490295,6.929135322570801,0.0
10,1.4996769428253174,0.5690158605575562,0.006283422000706196,0.7463058233261108,6.929263114929199,0.0
11,1.520728349685669,0.5686561465263367,0.006098833400756121,0.7453597187995911,6.929519176483154,0.0
12,1.5182198286056519,0.5694862008094788,0.005934370215982199,0.7415404319763184,6.929488658905029,0.0
13,1.5151333808898926,0.5689688324928284,0.005740113090723753,0.7405046820640564,6.928729057312012,0.0
14,1.512238621711731,0.5687463879585266,0.0054344721138477325,0.7382800579071045,6.93194055557251,0.0
15,1.5090184211730957,0.5697819590568542,0.004920906852930784,0.7372449636459351,6.928591251373291,0.0
16,1.5084389448165894,0.5703884959220886,0.005069597624242306,0.7372254729270935,6.92857551574707,0.0
17,1.5068254470825195,0.5697051286697388,0.005166786257177591,0.734300434589386,6.928894996643066,0.0
18,1.5042113065719604,0.5687572360038757,0.005023868288844824,0.7307256460189819,6.927628040313721,0.0
19,1.4999608993530273,0.5680885314941406,0.004548605065792799,0.7281876802444458,6.929793357849121,0.0
20,1.4984058141708374,0.5680038332939148,0.004657984245568514,0.7265269756317139,6.928276062011719,0.0
21,1.5010366439819336,0.5677851438522339,0.005187619011849165,0.7275844216346741,6.9275922775268555,0.0
22,1.4991178512573242,0.5696813464164734,0.005155226681381464,0.7227926254272461,6.92747688293457,0.0
23,1.495473027229309,0.5687777996063232,0.005174832884222269,0.72221839427948,6.925985336303711,0.0
24,1.4925451278686523,0.5691215991973877,0.005378030706197023,0.7166064381599426,6.925217628479004,0.0
25,1.486581563949585,0.56917405128479,0.004908150061964989,0.7135867476463318,6.925084590911865,0.0
26,1.4823155403137207,0.5694605112075806,0.004853380378335714,0.7120314836502075,6.924398422241211,0.0
27,1.4783967733383179,0.5683225393295288,0.005011757370084524,0.7114656567573547,6.92207145690918,0.0
28,1.4758694171905518,0.5693356990814209,0.0051981862634420395,0.7094406485557556,6.920802116394043,0.0
29,1.472308874130249,0.5727874040603638,0.004735328257083893,0.7058243751525879,6.918749809265137,0.0
30,1.4683313369750977,0.5718137621879578,0.0045698415488004684,0.6996529698371887,6.9197187423706055,0.0
31,1.461867332458496,0.5695710778236389,0.004559507127851248,0.6989185214042664,6.915081024169922,0.0
32,1.459307312965393,0.5678480863571167,0.004431667272001505,0.6977428197860718,6.911647319793701,0.0
33,1.460265874862671,0.5707801580429077,0.004606347065418959,0.6925921440124512,6.909226894378662,0.0
34,1.4573949575424194,0.5675876140594482,0.004603860899806023,0.6907953023910522,6.896113395690918,0.0
35,1.4565118551254272,0.5701768398284912,0.0044567277655005455,0.6855929493904114,6.887179851531982,0.0
36,1.4561386108398438,0.5702845454216003,0.004739565774798393,0.6824237108230591,6.876883506774902,0.0
37,1.451852560043335,0.5690664052963257,0.004346341360360384,0.6802258491516113,6.868110179901123,0.0
38,1.4500255584716797,0.5706384181976318,0.004212023690342903,0.6740731596946716,6.848142623901367,0.0
39,1.4453985691070557,0.5666950941085815,0.004044860135763884,0.6734170913696289,6.828401565551758,0.0
